coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Enjin Coin,ENJ,3.396634465397757e-05,0.9036295369211514,0.5690923957481602,0.11691831204026323,0.0023098626120286797,0.0015913159642518156,2022-03-16
Basic Attention Token,BAT,1.9957774945211794e-05,0.9073842302878599,0.5731807031888797,0.15660085172280291,0.005606527252449162,0.0014920053677937699,2022-03-16
NEXO,NEXO,5.3133067729038796e-05,0.8998748435544431,0.5535568274734259,0.12698412698412695,7.911287557447918e-05,0.0014906897522558246,2022-03-16
Amp,AMP,6.07418593565292e-07,0.9036295369211514,0.5339329517579721,0.10859465737514515,0.000139548378618357,0.00146016840939027,2022-03-16
Radix,XRD,2.956503390836035e-06,0.8998748435544431,0.5805396565821749,0.10782036391792486,3.728231902789594e-06,0.0014594483699534343,2022-03-16
Kusama,KSM,0.0030773508288763564,0.9123904881101377,0.5609157808667211,0.11536972512582266,0.0011374300711616482,0.0013747527909713888,2022-03-16
Celo,CELO,6.11394204059631e-05,0.9086357947434294,0.5584627964022894,0.0933023615950445,0.0008046979180749758,0.0012995375617847944,2022-03-16
Kadena,KDA,0.00015115023383441517,0.9111389236545683,0.5355682747342599,0.11401471157568716,0.00101250971450484,0.0012834132177644507,2022-03-16
Chiliz,CHZ,4.809658633771891e-06,0.9136420525657072,0.5478331970564185,0.11188540456833138,0.001888466995720461,0.001267456444679426,2022-03-16
Dash,DASH,0.0023689099253424483,0.9011264080100125,0.5322976287816843,0.11382113821138208,0.004236633675833662,0.00124966517081313,2022-03-16
Frax Share,FXS,0.00043476921199576404,0.8886107634543179,0.5192150449713818,0.10917537746806037,8.345419143270841e-05,0.0012443880490878413,2022-03-16
Pax Dollar,USDP,2.4238019609645085e-05,0.8785982478097623,0.5290269828291086,0.10782036391792486,0.0009948991070210596,0.0011971644056814035,2022-03-16
BitDAO,BIT,2.71730757159812e-05,0.9123904881101377,0.543744889615699,0.11498257839721251,0.0009419295266641367,0.0011954312062128075,2022-03-16
GateToken,GT,0.00015818611952019712,0.8961201501877347,0.5535568274734259,0.10704607046070458,0.00013282825765855203,0.001177805855110723,2022-03-16
Convex Finance,CVX,0.00044374603166383065,0.9286608260325407,0.5723630417007358,0.13646922183507545,0.0007811168577626063,0.0011772167183458312,2022-03-16
Synthetix Network Token,SNX,0.00010286950102508373,0.9474342928660826,0.5928045789043336,0.12427409988385596,0.0010934607545194945,0.001080174823618025,2022-03-16
Xido Finance,XIDO,0.0007487152836303111,0.8473091364205257,0.48814390842191324,0.2562911343399148,2.5270765192851855e-05,0.0010668217588266323,2022-03-16
Loopring,LRC,1.724282075246676e-05,0.918648310387985,0.5568274734260016,0.10162601626016257,0.0019372650885656052,0.0010513928012630988,2022-03-16
NEM,XEM,2.383481592594646e-06,0.9073842302878599,0.5633687653311529,0.11517615176151759,0.0003601631679869793,0.0010487145567184782,2022-03-16
Anchor Protocol,ANC,7.521119177752704e-05,0.9561952440550688,0.6001635322976288,0.07317073170731705,0.0018559720616591708,0.0009558949207026734,2022-03-16
Oasis Network,ROSE,5.528968767606593e-06,0.9261576971214018,0.5854456255110384,0.11324041811846687,0.0011365132846189747,0.0009389195185959121,2022-03-16
Curve DAO Token,CRV,4.900858301668385e-05,0.9136420525657072,0.5461978740801308,0.1068524970963995,0.002605099828385294,0.0009348150609486246,2022-03-16
Decred,DCR,0.0013797614446206176,0.9061326658322904,0.6451349141455437,0.12504839334107623,0.00043208365170143716,0.0009296153646061637,2022-03-16
cUSDT,CUSDT,5.281379143985223e-07,0.8811013767209012,0.5282093213409648,0.10801393728222994,1.4001043116497046e-07,0.0009144900390775254,2022-03-16
Secret,SCRT,0.00011184632069315038,0.902377972465582,0.5347506132461161,0.11324041811846687,0.0003430030656198118,0.0008994453038326055,2022-03-16
LINK,LN,0.0031409164167961797,0.9261576971214018,0.5429272281275551,0.11265969802555166,2.0849273232451475e-05,0.0008938861012949374,2022-03-16
Mina Protocol,MINA,4.391363131318656e-05,0.8998748435544431,0.6140637775960751,0.10723964382500965,0.001214477959010994,0.0008896426109432467,2022-03-16
Holo,HOT,1.006365583164569e-07,0.9148936170212766,0.5502861815208503,0.11343399148277192,0.0010908696424089402,0.0008615627842211512,2022-03-16
Compound,COMP,0.0026585943221984366,0.9136420525657072,0.5650040883074406,0.11807975222609365,0.0007034879218772247,0.00085092440930296,2022-03-16
IoTeX,IOTX,1.8593787511158007e-06,0.9336670838548186,0.5339329517579721,0.1306620209059233,0.0015832004480418997,0.0008393288825319246,2022-03-16
Bitkub Coin,KUB,0.00019142461396682225,0.886107634543179,0.5282093213409648,0.1014324428958575,3.7864092014694355e-05,0.0008159051056831424,2022-03-16
Neutrino USD,USDN,2.4261674742554178e-05,0.8848560700876096,0.5273916598528209,0.10936895083236542,0.00026442444423573124,0.0008017718812243925,2022-03-16
yearn.finance,YFI,0.46055597568687107,0.902377972465582,0.5421095666394112,0.10530391018195895,0.001413224884804576,0.0007894307483904327,2022-03-16
Nexus Mutual,NXM,0.002244447533728443,0.9136420525657072,0.5568274734260016,0.1205962059620596,3.296333855744055e-08,0.0007319219399638802,2022-03-16
XDC Network,XDC,1.2285003461413585e-06,0.8785982478097623,0.5102207686017988,0.12679055361982186,0.00017140930871649356,0.0007094255267558116,2022-03-16
1inch,1INCH,3.639251213183343e-05,0.9073842302878599,0.6189697465249386,0.13956639566395662,0.002079177997659812,0.0007092350901847408,2022-03-16
WAX,WAXP,6.649858142375997e-06,0.9073842302878599,0.5445625511038429,0.10801393728222994,0.00046323016008399486,0.0007080425900646336,2022-03-16
Smooth Love Potion,SLP,4.0147131430588674e-07,0.904881101376721,0.5429272281275551,0.0933023615950445,0.0017147011482472358,0.0007071480944866733,2022-03-16
Qtum,QTUM,0.00014435696489641879,0.9173967459324155,0.5470155355682746,0.11498257839721251,0.0013641568686255778,0.0007051156366287941,2022-03-16
PAX Gold,PAXG,0.04696526480280197,0.8898623279098873,0.5322976287816843,0.09698025551684086,0.0005307442377182025,0.0007034667297078658,2022-03-16
Sushi,SUSHI,7.56964252730982e-05,0.9261576971214018,0.5846279640228944,0.1238869531552458,0.0022819198164116075,0.0006926121789146974,2022-03-16
renBTC,RENBTC,0.9839375582128554,0.9011264080100125,0.5560098119378577,0.11730545876887338,0.0002559613862966074,0.0006917582407169234,2022-03-16
Livepeer,LPT,0.0005779130931892593,0.918648310387985,0.5470155355682746,0.11265969802555166,0.00019490658543361254,0.0006752523341318092,2022-03-16
