coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,price_ma_2,price_std_2,liquidity_ratio,cap_to_volume,weighted_change
Acala,ACA,2.668784222041003e-05,0.9249061326658323,0.5461978740801308,0.11149825783972123,0.000229137880135163,9.64089983112649e-05,2022-03-16,,,8.275757941377407,0.41891842513993194,0.00012515462300105386
Acala,ACA,2.620260872483886e-05,0.8836045056320401,0.5167620605069502,0.09756097560975607,0.00015257517421389682,9.23300351262023e-05,2022-03-17,2.6445225472624446e-05,3.431118951772278e-07,5.6088434663466495,0.6012041698719264,7.88450614089802e-05
Adshares,ADS,8.39453946978081e-05,0.8986232790988735,0.579721995094031,0.1716995741385985,2.1126894852972633e-05,2.199567588788827e-05,2022-03-16,,,0.24871148021774728,0.9940697072067147,1.2247725634307109e-05
Adshares,ADS,8.612894542787836e-05,0.8823529411764707,0.5511038430089941,0.16569879984514127,2.0522855521330134e-05,2.530592253259307e-05,2022-03-17,8.503717006284322e-05,1.544003528297523e-06,0.2355457812618435,1.1757697535772493,1.131022454732339e-05
Adventure Gold,AGLD,2.668784222041003e-05,0.8785982478097623,0.6827473426001633,0.12698412698412695,0.0009879340217465048,2.487718284175816e-05,2022-03-16,,,35.68114892746143,0.0251555536514194,0.0006745093280117182
Adventure Gold,AGLD,2.6930458968195617e-05,0.8673341677096371,0.5355682747342599,0.12524196670538132,0.0009754463306071784,2.595044377443416e-05,2022-03-17,2.6809150594302823e-05,1.715559475886151e-07,34.92410675091011,0.02657641588790398,0.0005224181083791511
Aergo,AERGO,5.253647282219511e-06,0.8948685857321652,0.5306623058053965,0.0809136662795199,0.00015463790078308116,1.5798486803988816e-05,2022-03-16,,,24.727633939757137,0.10150796640471145,8.206050499445598e-05
Aergo,AERGO,5.300666407940358e-06,0.8760951188986233,0.5380212591986917,0.0830429732868757,0.00012552292882619365,1.7324551498849733e-05,2022-03-17,5.277156845079935e-06,3.3247542642673445e-08,19.92216706918565,0.13692815728798627,6.753400422537646e-05
Akash Network,AKT,2.6445225472624446e-05,0.9011264080100125,0.5273916598528209,0.1116918312040263,3.0307515960978962e-05,0.00010223333990560737,2022-03-16,,,1.1042910174379708,3.2654567686886717,1.5983931148676555e-05
Akash Network,AKT,2.7658309211552368e-05,0.8973717146433041,0.5600981193785772,0.1089818041037553,2.5691788978461907e-05,0.00010980168364125282,2022-03-17,2.7051767342088405e-05,8.57779737943066e-07,0.896486557835916,4.113687686121518,1.4389922690307772e-05
Alchemix,ALCX,0.0023082557383960517,0.916145181476846,0.4938675388389206,0.08381726674409598,0.00014811960956766527,5.9124733884369885e-05,2022-03-16,,,0.06414170899518702,0.39649201104929893,7.315146703096469e-05
Alchemix,ALCX,0.002351684136249672,0.8798498122653317,0.5470155355682746,0.08013937282229963,0.00012046251359389502,6.334731604511846e-05,2022-03-17,0.002329969937322862,3.0708514618361954e-05,0.051202161708762114,0.5215379969569677,6.589486638946504e-05
Alchemix USD,ALUSD,2.4193038464605636e-05,0.8798498122653317,0.5273916598528209,0.10801393728222994,5.23472101274321e-05,0.00018444037896634023,2022-03-16,,,2.0778442505446924,3.4573575361441002,2.7607482037770812e-05
Alchemix USD,ALUSD,2.4232415162771235e-05,0.8811013767209012,0.5282093213409648,0.10820751064653501,2.464297509337566e-06,0.00018448342213391193,2022-03-17,2.4212726813688435e-05,2.7843530293630437e-08,0.09766395699502735,53.25276528261812,1.3016649149894255e-06
Alchemy Pay,ACH,9.841740387221537e-07,0.9036295369211514,0.5568274734260016,0.10743321718931473,0.0001613920081250551,0.00012941036705082536,2022-03-16,,,81.33964308342361,0.7969010824176077,8.986750411542315e-05
Alchemy Pay,ACH,9.7058384385966e-07,0.8873591989987485,0.5175797219950939,0.09930313588850172,0.00011780320432948111,0.0001273547407266935,2022-03-17,9.773789412909068e-07,9.60971894491595e-09,59.78086377626405,1.0719806881091871,6.097254974698408e-05
Algorand,ALGO,1.773550258219495e-05,0.9123904881101377,0.5396565821749794,0.10607820363917922,0.002616246481439371,0.006132704809425308,2022-03-16,,,139.64111557518015,2.3431896280753,0.0014118746343008866
Algorand,ALGO,1.8334474809128e-05,0.8973717146433041,0.5560098119378577,0.10472319008904372,0.0023877360634497677,0.006372458153529113,2022-03-17,1.8034988695661475e-05,4.235373234067681e-07,123.49629803869787,2.6677112850743874,0.001327604679595946
Alien Worlds,TLM,2.342364716319239e-06,0.9261576971214018,0.5600981193785772,0.10762679055361979,0.0007660989503767644,6.874890110613265e-05,2022-03-16,,,229.20866374523803,0.08962194651989329,0.0004290905813639277
